Distance,TransportationMode,WeatherConditions,TrafficConditions,FuelPrices,DeliveryTime,TransportationCompany,TransportationCost
413,Ship,Snowy,High,2.620614232,18,Company B,619.5
104,Air,Snowy,High,2.798252201,7,Company A,520
293,Truck,Rainy,Low,2.484514315,9,Company C,586
369,Truck,Rainy,High,2.406975989,4,Company B,738
,Truck,Rainy,High,3.909107685,19,Company C,360
356,Air,Rainy,High,3.837043206,23,Company B,1780
184,Ship,Sunny,Medium,2.093985002,2,Company B,276
70,Truck,Rainy,Low,2.677626043,17,Company A,140
378,Air,Sunny,Low,2.810297107,8,Company B,1890
216,Ship,Snowy,Low,2.478029069,4,Company C,324
323,Air,Rainy,High,3.257745794,24,Company C,1615
437,Ship,Sunny,High,3.280761493,5,Company A,655.5
138,Air,Rainy,Medium,3.701008457,10,Company A,690
365,Ship,Snowy,Low,3.481738537,6,Company B,547.5
63,Truck,Snowy,High,3.085146654,20,Company A,126
291,Ship,Snowy,Low,3.30717354,16,Company C,436.5
314,Air,Rainy,Medium,2.547977563,9,Company C,
395,Air,Rainy,Medium,3.18611238,7,Company A,1975
102,Ship,Sunny,Medium,2.978454509,19,Company A,153
435,Truck,Snowy,Low,2.266688935,20,Company A,870
389,Truck,Rainy,High,2.485088553,16,Company B,778
141,Ship,Snowy,High,2.583386901,8,Company B,211.5
416,Ship,Snowy,Medium,3.848619134,11,Company C,624
493,Air,Sunny,High,2.460773279,7,Company B,2465
477,Truck,Sunny,Medium,2.578487806,15,Company B,954
313,Ship,Sunny,Low,2.73870826,18,Company B,469.5
480,Truck,Sunny,Medium,3.327485477,10,Company B,960
84,Ship,Snowy,Low,2.236476785,20,Company C,126
255,Ship,Sunny,Medium,3.907890425,6,Company A,382.5
130,Truck,Sunny,High,3.73114244,24,Company C,260
,Ship,Sunny,High,3.154432146,8,Company B,703.5
99,Ship,Sunny,Medium,3.348075735,20,Company A,148.5
409,Air,Snowy,High,2.033320942,21,Company A,2045
437,Ship,Sunny,High,2.677889551,8,Company A,655.5
51,Ship,Snowy,High,3.591320461,3,Company C,76.5
439,Ship,Rainy,Low,2.154965948,24,Company A,658.5
103,Air,Snowy,High,2.564627668,17,Company C,515
155,Truck,Snowy,Low,3.170593657,14,Company C,310
309,Air,Sunny,Medium,2.512826055,9,Company B,1545
359,Air,Rainy,High,3.867955948,7,Company B,1795
240,Truck,Rainy,High,2.262117262,7,Company A,480
451,Air,Rainy,High,3.594788716,10,Company A,2255
267,Truck,Rainy,Medium,3.015897384,5,Company B,534
93,Air,Snowy,Low,3.500661552,12,Company C,465
211,Truck,Rainy,Low,2.621430657,6,Company C,422
251,Ship,Snowy,High,3.028979205,18,Company B,376.5
495,Air,Snowy,Medium,3.713670699,21,Company C,2475
319,Air,Snowy,Medium,2.933756198,8,Company B,1595
400,Air,Rainy,Medium,2.719439724,16,Company B,2000
353,Air,Sunny,Medium,3.072310773,16,Company A,1765
320,Ship,Sunny,Medium,3.434725506,15,Company A,480
264,Air,Rainy,Low,2.887126691,14,Company B,1320
301,Ship,Sunny,Low,3.87775395,12,Company A,451.5
239,Ship,Sunny,Low,2.589891648,14,Company B,358.5
345,Ship,Snowy,High,2.950927212,23,Company C,517.5
262,Ship,Snowy,Medium,3.513855319,10,Company C,393
257,Truck,Rainy,High,3.378242181,11,Company C,514
286,Truck,Rainy,Medium,3.727282105,5,Company C,572
387,Air,Sunny,Low,3.993618361,18,Company B,1935
416,Truck,Snowy,High,2.853716658,15,Company C,832
102,Truck,Rainy,Low,2.22230176,19,Company C,204
329,Air,Rainy,Medium,2.060831762,12,Company C,1645
459,Air,Rainy,Medium,3.453753812,17,Company C,2295
266,Air,Rainy,Medium,3.748027343,2,Company B,1330
301,Truck,Rainy,Low,2.441425172,8,Company C,602
237,Truck,Rainy,Medium,2.316896074,11,Company A,474
429,Air,Sunny,Low,2.124410183,10,Company A,2145
90,Ship,Snowy,High,3.645405843,4,Company A,135
206,Air,Snowy,Medium,2.62276388,23,Company A,1030
64,Ship,Rainy,Medium,2.803393786,24,Company A,96
350,Ship,Snowy,Medium,3.005500383,15,Company A,525
114,Air,Snowy,High,3.678906468,16,Company B,570
394,Air,Snowy,Medium,3.301666443,3,Company A,1970
376,Air,Rainy,Low,3.23012926,15,Company C,1880
58,Truck,Rainy,Low,2.3513442,17,Company A,116
393,Ship,Snowy,Medium,3.026379783,8,Company B,589.5
178,Truck,Snowy,Medium,3.430762034,5,Company A,356
185,Truck,Rainy,High,3.946521766,19,Company C,370
112,Air,Sunny,High,2.402812618,6,Company C,560
188,Truck,Snowy,High,2.019086706,7,Company B,376
130,Air,Sunny,Medium,2.150602867,8,Company B,650
441,Ship,Snowy,High,2.75170493,16,Company B,661.5
212,Air,Sunny,High,3.641089295,2,Company B,1060
468,Truck,Sunny,Low,2.014284164,5,Company A,936
338,Truck,Sunny,High,2.913461186,2,Company A,676
428,Air,Rainy,Low,2.658461231,12,Company C,2140
310,Air,Sunny,Low,2.10496342,19,Company B,1550
280,Truck,Sunny,High,2.900472573,15,Company B,560
90,Ship,Sunny,Low,2.509497415,23,Company A,135
77,Ship,Snowy,Medium,2.703769669,12,Company B,115.5
184,Air,Sunny,Medium,3.41123061,11,Company C,920
250,Ship,Snowy,High,3.043101968,18,Company C,375
377,Truck,Sunny,Medium,2.249294858,5,Company B,754
317,Air,Sunny,Low,3.922829081,16,Company C,1585
467,Truck,Rainy,Medium,3.271821531,17,Company C,934
82,Truck,Snowy,High,3.531736851,22,Company A,164
97,Ship,Sunny,High,2.1584263,14,Company C,145.5
456,Air,Snowy,Low,2.094116759,10,Company B,2280
111,Air,Snowy,High,2.038896101,12,Company B,555
265,Ship,Rainy,Medium,2.377588056,12,Company C,397.5
342,Truck,Rainy,High,2.828816795,7,Company B,684
148,Truck,Rainy,Low,3.871652267,2,Company A,296
221,Truck,Rainy,High,2.914119319,23,Company C,442
409,Truck,Rainy,Medium,2.580510211,7,Company C,818
263,Air,Rainy,Low,3.123870507,14,Company C,1315
84,Air,Rainy,Medium,2.223869156,23,Company B,420
498,Ship,Rainy,Low,3.219011782,23,Company B,747
276,Ship,Sunny,High,3.136863909,6,Company C,414
150,Air,Snowy,Low,3.583986067,16,Company B,750
480,Air,Rainy,Low,3.973375223,19,Company B,2400
180,Truck,Rainy,High,2.501746943,21,Company C,360
306,Truck,Snowy,Medium,3.019312902,15,Company C,612
54,Ship,Sunny,High,3.817730813,16,Company B,81
267,Air,Snowy,Low,3.570379769,6,Company C,1335
304,Ship,Snowy,High,2.974812606,5,Company C,456
447,Air,Rainy,Low,3.890743299,3,Company C,2235
408,Truck,Snowy,High,2.114473387,8,Company C,816
332,Ship,Snowy,High,3.861997239,11,Company B,498
442,Ship,Rainy,Medium,2.101014785,17,Company C,663
256,Air,Rainy,Low,3.094609488,11,Company A,1280
64,Truck,Rainy,Medium,3.780881896,19,Company C,128
395,Ship,Rainy,Low,2.525441887,18,Company A,592.5
91,Truck,Snowy,High,2.944496998,22,Company C,182
429,Ship,Snowy,Low,2.648657758,14,Company A,643.5
228,Truck,Sunny,Medium,3.904287834,2,Company A,456
112,Air,Sunny,Medium,3.64729119,2,Company C,560
401,Ship,Snowy,Medium,3.418003023,16,Company C,601.5
280,Ship,Sunny,Low,3.175253973,2,Company C,420
290,Truck,Snowy,Medium,3.641183579,7,Company A,580
101,Truck,Sunny,Medium,2.784534083,14,Company B,202
145,Ship,Rainy,Medium,2.89510371,2,Company B,217.5
437,Air,Sunny,High,3.460003442,6,Company C,2185
271,Truck,Rainy,High,2.715509527,10,Company B,542
456,Truck,Rainy,Low,2.127801884,18,Company B,912
280,Truck,Rainy,Low,2.148669218,17,Company C,560
286,Ship,Rainy,Medium,2.230725603,9,Company A,429
192,Ship,Sunny,High,3.739362647,18,Company C,288
220,Ship,Snowy,Medium,2.944452852,16,Company B,330
78,Ship,Rainy,Medium,3.425764739,2,Company A,117
85,Air,Sunny,High,2.785818671,13,Company B,425
62,Air,Rainy,High,2.517421895,6,Company A,310
209,Ship,Sunny,High,2.694384335,7,Company B,313.5
376,Air,Sunny,Low,3.588364691,2,Company C,1880
236,Truck,Sunny,Low,3.25043225,2,Company B,472
292,Truck,Snowy,Medium,3.87527956,11,Company B,584
135,Truck,Sunny,Low,3.359409557,11,Company A,270
333,Ship,Sunny,High,3.140363264,4,Company B,499.5
115,Truck,Snowy,High,3.220392018,18,Company C,230
219,Air,Snowy,Low,3.884742879,20,Company C,1095
94,Ship,Sunny,Medium,3.57640186,12,Company C,141
111,Air,Snowy,Medium,2.048082475,19,Company A,555
490,Truck,Rainy,Low,3.068279392,3,Company A,980
183,Truck,Rainy,Medium,3.376676823,10,Company B,366
333,Truck,Snowy,Medium,3.497396957,18,Company B,666
77,Ship,Snowy,Medium,2.426284239,15,Company B,115.5
157,Air,Sunny,High,3.734354709,5,Company A,785
93,Ship,Snowy,High,3.911686294,18,Company A,139.5
389,Ship,Sunny,Low,2.473430612,18,Company B,583.5
335,Truck,Rainy,High,3.765230915,13,Company A,670
495,Ship,Snowy,Medium,2.193957525,21,Company A,742.5
380,Ship,Sunny,High,2.111413672,19,Company C,570
177,Truck,Sunny,Low,2.2584476,4,Company C,354
397,Ship,Rainy,High,2.115482159,12,Company B,595.5
280,Truck,Snowy,Medium,3.690024474,19,Company B,560
239,Truck,Rainy,Medium,2.118100289,5,Company C,478
274,Truck,Sunny,Low,2.543328383,18,Company A,548
434,Truck,Sunny,High,2.207512687,19,Company B,868
426,Ship,Snowy,High,2.590844073,6,Company B,639
332,Truck,Sunny,High,2.181118935,15,Company B,664
495,Truck,Snowy,Medium,3.336006501,11,Company A,990
170,Ship,Rainy,Low,2.266653633,16,Company C,255
165,Ship,Snowy,High,3.703691852,2,Company B,247.5
282,Air,Snowy,Medium,3.634382101,17,Company C,1410
308,Ship,Sunny,Medium,2.027323371,12,Company C,462
408,Ship,Sunny,Medium,3.791452711,24,Company A,612
247,Air,Snowy,High,2.057888633,21,Company A,1235
460,Ship,Sunny,High,2.47929157,7,Company A,690
186,Ship,Sunny,High,2.064778276,23,Company A,279
367,Ship,Sunny,High,2.671686974,17,Company A,550.5
214,Ship,Snowy,High,3.027733051,3,Company A,321
274,Air,Sunny,High,3.593289738,2,Company B,1370
356,Ship,Snowy,High,2.675963101,10,Company C,534
283,Ship,Sunny,High,3.410980049,23,Company A,424.5
221,Air,Rainy,High,2.375008914,13,Company B,1105
201,Truck,Sunny,Medium,3.501196913,18,Company C,402
364,Air,Sunny,High,2.471993212,16,Company A,1820
423,Truck,Snowy,Low,2.287089512,20,Company A,846
209,Air,Snowy,Medium,2.370817701,23,Company B,1045
145,Air,Sunny,High,2.364126258,11,Company C,725
282,Ship,Rainy,Low,3.025725759,13,Company A,423
229,Truck,Sunny,High,3.689595162,15,Company C,458
162,Ship,Sunny,Low,2.159210154,10,Company B,243
367,Truck,Rainy,Low,3.413912637,14,Company A,734
491,Air,Snowy,Low,3.308692919,4,Company C,2455
101,Air,Sunny,Low,3.745039904,22,Company B,505
317,Truck,Snowy,Medium,2.488295121,15,Company B,634
344,Ship,Snowy,Medium,2.900219717,22,Company A,516
435,Ship,Rainy,Low,3.851654749,11,Company C,652.5
436,Ship,Rainy,High,3.3199869,17,Company A,654
162,Ship,Snowy,Low,2.777536826,8,Company A,243
150,Air,Sunny,Medium,2.262824766,5,Company C,750
162,Air,Snowy,High,2.524970016,21,Company C,810
489,Air,Sunny,Medium,3.162430955,24,Company C,2445
130,Air,Sunny,Medium,3.436335895,12,Company B,650
236,Air,Rainy,High,2.248843774,17,Company B,1180
162,Ship,Sunny,Low,3.19919452,21,Company C,243
51,Ship,Sunny,Low,3.100702558,5,Company B,76.5
179,Ship,Snowy,Low,3.027910893,23,Company A,268.5
269,Ship,Rainy,Low,3.380246235,23,Company C,403.5
103,Air,Sunny,High,3.67489919,24,Company A,515
392,Air,Sunny,High,2.645979366,18,Company C,1960
273,Air,Rainy,High,3.77802438,14,Company A,1365
274,Truck,Snowy,Medium,2.321267225,12,Company C,548
434,Ship,Rainy,High,2.34604774,4,Company A,651
452,Ship,Rainy,Low,2.533544127,10,Company C,678
175,Air,Sunny,Medium,2.239061739,7,Company C,875
179,Ship,Sunny,Low,2.460638449,23,Company B,268.5
102,Ship,Snowy,Low,2.212823526,22,Company A,153
221,Air,Sunny,High,3.643504834,12,Company B,1105
267,Truck,Sunny,High,2.277937984,17,Company A,534
209,Truck,Rainy,Low,3.494595115,20,Company B,418
247,Truck,Sunny,Low,2.095827736,6,Company C,494
465,Air,Snowy,Medium,3.897040655,15,Company B,2325
296,Ship,Rainy,High,3.422320175,18,Company B,444
373,Air,Snowy,Medium,2.013593097,4,Company C,1865
488,Air,Rainy,Medium,3.527713,5,Company B,2440
252,Ship,Sunny,Medium,3.028163842,17,Company C,378
233,Truck,Rainy,Low,3.558730341,17,Company A,466
172,Truck,Rainy,Medium,3.044993618,22,Company B,344
450,Air,Sunny,Medium,3.282049715,5,Company C,2250
304,Truck,Sunny,Low,3.572663311,20,Company C,608
343,Air,Snowy,High,2.810216109,18,Company B,1715
329,Air,Snowy,High,2.0054163,14,Company A,1645
374,Ship,Sunny,Medium,3.699892992,23,Company B,561
421,Ship,Sunny,Low,2.761780725,24,Company C,631.5
147,Ship,Sunny,High,2.992085452,2,Company A,220.5
247,Air,Rainy,Medium,2.015533284,13,Company B,1235
444,Ship,Rainy,Medium,2.984184021,5,Company C,666
289,Truck,Rainy,Low,3.972974803,12,Company B,578
193,Truck,Sunny,Medium,2.556535322,6,Company A,386
146,Air,Snowy,High,2.79083654,3,Company A,730
250,Air,Sunny,Low,3.374379993,18,Company A,1250
173,Ship,Rainy,High,3.629587335,9,Company A,259.5
236,Air,Rainy,High,2.834783248,7,Company A,1180
375,Air,Sunny,High,2.619337741,22,Company B,1875
398,Truck,Sunny,Medium,3.8756516,10,Company A,796
308,Truck,Rainy,Medium,3.354289933,14,Company A,616
197,Ship,Rainy,High,2.238042609,12,Company C,295.5
301,Air,Rainy,High,2.137855756,17,Company A,1505
492,Air,Sunny,Low,2.967099702,17,Company C,2460
469,Truck,Rainy,Low,2.440180132,3,Company C,938
452,Air,Rainy,Medium,2.507969507,11,Company C,2260
395,Truck,Snowy,Medium,3.755384358,13,Company B,790
500,Ship,Sunny,Low,2.179132049,9,Company B,750
196,Truck,Snowy,High,3.43072823,12,Company C,392
197,Air,Snowy,Medium,2.542284507,11,Company B,985
401,Ship,Rainy,High,3.520656443,14,Company A,601.5
248,Truck,Sunny,Low,3.444822769,18,Company B,496
357,Truck,Rainy,Medium,2.014783803,8,Company A,714
466,Ship,Sunny,Medium,3.018270826,4,Company A,699
473,Ship,Snowy,Low,2.278638965,21,Company B,709.5
177,Truck,Sunny,Medium,3.732454061,14,Company B,354
88,Air,Rainy,Low,3.743171766,20,Company C,440
387,Truck,Rainy,Medium,2.836691615,8,Company B,774
409,Ship,Rainy,Low,2.888791237,10,Company B,613.5
178,Truck,Sunny,Medium,2.606565879,20,Company B,356
316,Ship,Snowy,High,3.433212598,14,Company A,474
490,Ship,Snowy,High,2.717322726,23,Company A,735
483,Air,Sunny,High,2.535584949,9,Company A,2415
200,Ship,Rainy,Medium,2.864462119,23,Company C,300
464,Ship,Snowy,Medium,2.182975037,19,Company C,696
347,Air,Rainy,High,3.493206409,24,Company C,1735
148,Ship,Sunny,High,2.025192803,3,Company A,222
312,Air,Rainy,Low,3.288970123,19,Company B,1560
301,Air,Snowy,Low,2.365729054,19,Company C,1505
193,Ship,Snowy,Low,2.464808092,12,Company C,289.5
395,Ship,Rainy,High,3.271263997,2,Company A,592.5
161,Truck,Sunny,High,3.985886932,15,Company C,322
109,Air,Rainy,High,3.555434978,17,Company B,545
418,Truck,Sunny,Low,2.451679264,12,Company A,836
51,Ship,Rainy,Medium,2.35204951,2,Company A,76.5
434,Truck,Snowy,High,3.732465741,8,Company B,868
353,Air,Sunny,Medium,2.888367896,17,Company B,1765
303,Truck,Sunny,Medium,2.274105606,15,Company B,606
189,Air,Sunny,Medium,3.724422847,16,Company C,945
86,Ship,Snowy,Low,3.632184706,15,Company B,129
209,Ship,Rainy,Medium,3.967812728,22,Company A,313.5
58,Air,Snowy,High,3.819487373,12,Company B,290
282,Ship,Sunny,Low,3.703580677,17,Company A,423
148,Ship,Rainy,High,2.105148796,20,Company A,222
196,Ship,Snowy,High,2.208830739,18,Company C,294
353,Ship,Sunny,Low,3.137966389,7,Company B,529.5
257,Air,Sunny,High,3.062958493,12,Company C,1285
180,Truck,Snowy,High,2.915926429,18,Company B,360
453,Truck,Snowy,Low,2.793578651,10,Company B,906
201,Ship,Snowy,High,2.86242097,19,Company B,301.5
103,Truck,Sunny,Medium,3.138595868,18,Company B,206
169,Truck,Snowy,High,2.004153035,13,Company B,338
210,Ship,Sunny,Medium,2.521417548,24,Company A,315
457,Ship,Snowy,High,3.036559441,23,Company A,685.5
165,Truck,Sunny,Low,3.444432197,23,Company B,330
124,Air,Sunny,Low,2.348313385,6,Company A,620
162,Ship,Rainy,High,3.093762348,12,Company C,243
469,Air,Snowy,Low,3.428919368,5,Company C,2345
471,Truck,Snowy,High,2.889255316,5,Company C,942
153,Ship,Sunny,Low,2.054162267,4,Company B,229.5
389,Air,Sunny,Medium,2.898536317,24,Company B,1945
303,Ship,Sunny,High,2.592889775,18,Company A,454.5
276,Truck,Rainy,Medium,3.859299215,8,Company A,552
161,Air,Rainy,Medium,2.249226771,5,Company A,805
148,Truck,Sunny,High,3.304951911,24,Company C,296
202,Truck,Snowy,Medium,2.105439533,14,Company C,404
398,Ship,Snowy,High,2.892340876,13,Company C,597
451,Air,Rainy,Medium,3.107958974,2,Company C,2255
433,Truck,Rainy,High,2.595909863,22,Company A,866
415,Truck,Sunny,High,2.910151271,20,Company B,830
387,Air,Snowy,Low,2.327107589,22,Company B,1935
243,Truck,Sunny,High,2.608247699,21,Company C,486
359,Truck,Rainy,High,3.24221265,19,Company B,718
212,Air,Snowy,Medium,2.603600112,12,Company B,1060
257,Air,Snowy,High,3.799486157,21,Company B,1285
494,Air,Rainy,Low,3.256813915,4,Company C,2470
218,Air,Sunny,Medium,2.877298037,18,Company A,1090
210,Ship,Sunny,Medium,2.077513871,13,Company A,315
117,Air,Snowy,Low,2.99909667,11,Company B,585
338,Ship,Rainy,Medium,3.529552484,9,Company A,507
447,Ship,Snowy,Medium,2.531115196,16,Company A,670.5
326,Ship,Rainy,Medium,3.613547139,6,Company C,489
353,Truck,Sunny,Medium,2.503613532,5,Company C,706
453,Ship,Rainy,Low,3.647492776,22,Company B,679.5
433,Ship,Sunny,Low,2.170536683,21,Company B,649.5
441,Truck,Rainy,Medium,3.732367418,20,Company B,882
184,Truck,Snowy,Medium,2.998372902,22,Company C,368
244,Truck,Sunny,Low,2.593075179,5,Company A,488
450,Air,Snowy,Low,2.530226501,16,Company C,2250
177,Truck,Snowy,Low,2.864021118,18,Company C,354
82,Truck,Sunny,Medium,3.998098996,13,Company A,164
225,Ship,Sunny,Medium,2.440654787,4,Company A,337.5
492,Truck,Snowy,High,2.206433298,11,Company B,984
420,Air,Snowy,Low,3.170070337,16,Company A,2100
424,Truck,Snowy,Medium,2.977084933,11,Company A,848
71,Air,Snowy,Low,3.048392542,24,Company A,355
287,Truck,Sunny,Medium,3.333870835,19,Company A,574
207,Truck,Sunny,Low,2.53428814,2,Company B,414
87,Truck,Snowy,Medium,3.821329991,4,Company B,174
279,Truck,Rainy,High,2.871344132,22,Company A,558
414,Air,Rainy,High,2.25817239,13,Company A,2070
100,Air,Sunny,Low,3.484597513,2,Company B,500
487,Ship,Snowy,Medium,3.286208705,4,Company B,730.5
313,Air,Snowy,Medium,2.631486805,4,Company A,1565
332,Truck,Sunny,Low,3.243037448,6,Company C,664
76,Ship,Rainy,Medium,2.439723913,20,Company B,114
275,Ship,Rainy,Low,2.889678719,2,Company B,412.5
326,Ship,Rainy,Medium,3.798825044,5,Company B,489
335,Truck,Sunny,Low,2.267068466,5,Company A,670
146,Air,Rainy,Medium,2.7733929,18,Company A,730
333,Truck,Sunny,Low,3.642284849,15,Company B,666
416,Ship,Sunny,Medium,3.938981799,19,Company A,624
497,Truck,Snowy,High,2.907852273,2,Company A,994
366,Truck,Rainy,Medium,3.01399924,23,Company B,732
353,Air,Sunny,Low,3.144343924,17,Company A,1765
196,Air,Rainy,High,3.864696283,4,Company C,980
53,Ship,Rainy,Medium,3.716413582,24,Company A,79.5
84,Truck,Snowy,High,2.341202249,22,Company A,168
241,Truck,Rainy,Medium,2.873515636,10,Company B,482
98,Air,Snowy,High,2.928000856,24,Company B,490
66,Truck,Sunny,Low,3.578192223,5,Company C,132
221,Truck,Rainy,Medium,3.205785765,22,Company A,442
269,Truck,Sunny,Medium,3.308440924,6,Company C,538
207,Air,Rainy,Low,3.996399815,12,Company C,1035
95,Ship,Sunny,High,2.149920087,22,Company B,142.5
422,Ship,Rainy,Low,2.446019647,10,Company A,633
55,Truck,Rainy,Low,2.815791875,4,Company B,110
148,Ship,Rainy,High,2.695564806,7,Company C,222
429,Air,Rainy,Low,2.043291123,12,Company C,2145
282,Air,Rainy,Medium,2.183555213,10,Company B,1410
86,Ship,Rainy,Medium,3.361906583,16,Company B,129
329,Ship,Rainy,Medium,3.758648927,24,Company B,493.5
398,Truck,Rainy,Low,3.028454023,4,Company B,796
351,Ship,Rainy,Medium,3.078382159,2,Company B,526.5
230,Truck,Sunny,Medium,2.510186866,21,Company C,460
144,Truck,Snowy,Medium,3.535752727,23,Company B,288
148,Air,Rainy,Medium,3.503589175,20,Company A,740
237,Air,Snowy,Medium,3.176731378,15,Company C,1185
165,Air,Rainy,Medium,2.425328573,18,Company C,825
240,Air,Rainy,Low,2.194036436,23,Company A,1200
302,Ship,Sunny,Medium,2.128477152,15,Company A,453
465,Air,Sunny,Medium,3.185392133,18,Company C,2325
210,Ship,Snowy,High,3.650070638,15,Company B,315
305,Air,Sunny,Low,3.716660864,13,Company C,1525
372,Ship,Sunny,Low,2.927244149,17,Company C,558
177,Truck,Snowy,Low,3.568542599,2,Company A,354
67,Ship,Sunny,Low,3.893760393,14,Company C,100.5
330,Ship,Rainy,Medium,2.550340225,7,Company B,495
272,Air,Snowy,Medium,2.795920693,18,Company A,1360
103,Ship,Snowy,High,3.862957985,13,Company C,154.5
107,Truck,Rainy,High,2.676461935,24,Company C,214
372,Truck,Sunny,Low,3.827752581,20,Company B,744
409,Air,Snowy,High,3.962089725,7,Company C,2045
223,Truck,Snowy,High,3.323621457,8,Company C,446
329,Ship,Rainy,Low,3.633780579,2,Company C,493.5
163,Truck,Rainy,Low,3.499091128,2,Company C,326
337,Air,Sunny,High,3.399068515,6,Company B,1685
480,Ship,Snowy,Medium,2.613862146,7,Company C,720
391,Air,Sunny,High,2.114188676,17,Company C,1955
200,Ship,Sunny,High,2.686103465,17,Company C,300
499,Truck,Rainy,Medium,3.33387197,15,Company A,998
176,Air,Snowy,Medium,2.205058396,2,Company B,880
204,Air,Snowy,Low,2.023835966,14,Company A,1020
435,Ship,Snowy,Low,2.279384745,21,Company A,652.5
322,Air,Rainy,High,3.431471853,11,Company B,1610
153,Ship,Rainy,Medium,3.945587403,11,Company A,229.5
466,Ship,Rainy,Low,3.966129399,10,Company A,699
442,Ship,Rainy,High,2.987958298,14,Company A,663
348,Ship,Rainy,Medium,3.738704602,4,Company B,522
295,Truck,Snowy,High,3.473652912,19,Company C,590
225,Ship,Sunny,Low,3.002080474,21,Company B,337.5
88,Air,Snowy,Low,3.145521066,3,Company B,440
219,Truck,Sunny,Medium,2.274454293,18,Company B,438
296,Air,Rainy,High,3.875322921,20,Company A,1480
75,Truck,Sunny,Medium,2.703859541,24,Company C,150
404,Ship,Snowy,Low,2.892298513,14,Company B,606
355,Truck,Snowy,Low,3.343320462,14,Company B,710
458,Truck,Sunny,High,2.667804943,2,Company C,916
457,Air,Rainy,High,2.508518322,3,Company C,2285
62,Air,Rainy,High,3.262098787,2,Company C,310
365,Ship,Snowy,Medium,2.049968165,6,Company A,547.5
440,Truck,Sunny,High,3.441450224,4,Company C,880
362,Truck,Rainy,High,3.02804674,8,Company A,724
85,Truck,Rainy,Low,3.211507461,23,Company B,170
222,Ship,Snowy,Low,3.263760318,14,Company A,333
69,Ship,Rainy,High,3.054100313,24,Company C,103.5
370,Ship,Sunny,High,3.165067555,19,Company A,555
313,Ship,Snowy,Low,3.367576402,22,Company C,469.5
449,Ship,Snowy,High,3.506237694,8,Company A,673.5
191,Air,Sunny,Medium,3.454904783,2,Company B,955
420,Truck,Snowy,Medium,3.739232915,6,Company A,840
192,Truck,Rainy,Medium,2.378886866,18,Company B,384
141,Truck,Rainy,High,2.802295939,9,Company C,282
403,Truck,Sunny,Low,3.895592132,16,Company B,806
371,Truck,Rainy,High,2.793181149,21,Company C,742
337,Truck,Sunny,High,2.249740154,5,Company C,674
264,Truck,Sunny,Low,3.050890253,3,Company B,528
496,Truck,Rainy,Low,2.218981945,6,Company B,992
391,Air,Sunny,Low,2.405706477,2,Company A,1955
100,Truck,Rainy,Medium,3.996637513,6,Company A,200
202,Air,Snowy,High,3.082725277,7,Company B,1010
235,Ship,Snowy,Low,2.568116778,3,Company B,352.5
